SubjectID,Treatment,Case,ClassPercentage,AttributePercentage,MethodPercentage,AssociationPercentage,MultiplicityPercentage,CompletenessPercentage,ValidityErr,InvalidityPercentage,T1,T2,Results of double check
A1.1,G,C1,100,57,0,83,50,58,1,1.56,21,27,"I agree with all present and missing elements, but I reached a Completeness% of 58%"
A1.2,G,C1,67,36,0,17,8,25.6,11,17.19,18,24,"I agree with the choice to view the class 'Confirmation' as 'Response'. I also agree with all present and missing elements, but I reached a Completeness% of 25,6%"
A1.3,G,C2,100,77,50,94,59,76,12,13.48,5,30,"I reached a Completeness% of 75,4%. Almost all present and missing elements were denoted properly. Finally, in the ‰Û÷Interview‰Ûª class, the time and date attribute is present."
A2.1,G,C2,100,74,50,88,88,80,1,1.12,9,30,"Richard: I think you corrected pretty thouroughly and done well. We agree on the handling of semantic errors. Job very well done, I did not need to correct anything. Martijn: The initial review was done pretty extensivelly. I reached the same scores for most of the elements. When there were differences, they were very small andI could understand where they came from by comparing the tables. Because the differences were very small and I understood where they came from i decided to just go with your scores. We also had different interpretations about invalidity errors, but we reached an agreement on that already. "
A2.2,G,C2,63,48,38,47,47,47.13,36,40.45,6,25,"Comments are available in evaluated scores tab, score in this sheet are fixed/final."
A2.3,G,C2,86,58,0,53,41,47.6,15,16.85,45,23,"Comments are available in evaluated scores tab, score in this sheet are fixed/final."
A3.1,G,C1,67,57,0,8,8,28,14,21.88,43,10,Guidelines and process were switched. Changed it so it is correct now. Found a few differences within assocations that were not correct. (e.g. there was no assocation between room and hotel because the class room wasn't in the answers.) Time was switched with process
A3.2,G,C2,100,87,0,76,71,67.42,12,13.48,7,29,"Guidelines and process were switched. Nearly the same outcome though, missed something in the association and multiplicity."
A3.3,G,C1,100,54,0,58,33,49,1,1.56,7,23,"Guidelines and process were switched. Added some t's and removed some, and removed 13 validity errors"
A4.1,G,C1,100,57,100,83,42,76.4,0,0,11,26,Almost 100% perfect. Missed a few small details
A4.2,G,C1,,57,0,100,33,58,1,1.56,13,7,
A4.3,G,C2,100,77,0,71,53,60.2,13,,6,21,
A5.1,G,C2,100,74,50,100,88,79.7752809,6,6.741,6,28,"On most of the numbers our reviews match perfectly. Some of them are clearly different though, especially the Multiplicity %. I will sent you my data so you can see if you made any mistakes."
A5.2,G,C2,75,52,0,41,35,39.3258427,3,14.61,20,14,"Again, most of the results seem to match ours. There's are small differences in Assocation and Multiplicity. See full data I sent you."
A6.1,G,C2,100,77,25,88,33,65,3,3.37,5,39,"I had 100% the same results. The invalidity part is kind of subjective though, everyone approaches that differently. Like Marcella explained, there's a chance you "
A6.2,G,C2,100,68,6,100,41,60.67,4,4.49,9,33,Upon checking the first evaulation I got identical results. I noticed on one occasion that the subject's Response class had an extra method that the evaluator had not seen as an error while it could have been. I didn't adjust this for continuity purposes. The rest of the evaluation and percentages were the same as that I had calculated. 
A6.3,G,C1,33,8,25,43,29,27.6,2,3.13,27,6,"Small error in the % Multiplicity. This should be 29% instead of 36%. Also small error in T1, and T2. I changed it."
A7.1,G,C1,50,29,0,0,0,17.2,61,95.31,2,39,"Perfect, could not find something that I could interpret different. My calculations: 11 / 64 = 0,1718 * 100 = 17, 1875 and  61 /64 * 100 = 95, 3125"
A7.2,G,C1,67,71,0,50,0,46.9,15,23.44,8,31,
A7.3,G,C1,83,64,0,67,42,57.8,3,4.69,8,31,"Changed the multiplicity to 42% after discussion. Also changed the validity errors to 3 after discussion. There was a validity error counted 5 times, but this was actually one validity error.  "
A8.1,G,C2,100,71,0,94,100,62.5,2,2.25,8,48,
A8.2,G,C2,100,77,0,94,35,61.2,10,11.24,12,44,
A9.1,G,C1,67,86,67,50,25,64.0625,0,0,8,38,"the # of elements was listed instead of the percentage. Except for that no comments, had the exact same!"
A9.2,G,C1,100,54,0,100,67,67.9,3,4.69,14,26,"because of a syntax error you probably missed three atrributes,  i also added two valdity errors"
A9.3,G,C2,100,83,0,70,64,63,3,3.37,11,41,"You forgot to check and list the validity errors, transcription was missing from interview, while the spreadsheet said it was included"
A10.1,G,C2,100,55,0,65,41,52.2,6,6.74,5,26,
A10.2,G,C2,88,65,25,88,59,65,3,3.37,21,40,
A10.3,G,C2,100,81,44,100,82,79.7752809,6,6.74,14,42,
A11.1,G,C1,83,68,0,83,58,58.4,0,0,19,8,I got the same results.
A11.2,G,C2,67,46,0,17,0,29.7,3,3.37,7,33,"I agreed with everything, except that I think you missed on of the validity errors, which I added."
A11.3,G,C2,100,74,0,82,53,61.8,10,11.24,20,26,well done! 
A12.1,G,C1,100,54,0,83,8,49,2,3.13,20,17,"There is an ""availability"" in ""Rooms"" after all. Apart from that it's fine."
A12.2,G,C1,100,79,100,83,58,88,0,0,8,34,"All methods are in the model, and found less faults at multiplicity, this changed the completeness to 88."
A12.3,G,C2,100,81,0,100,100,75.28089888,7,7.87,4,25,"I agree on the percentages for the classes, attributes, methods, associations & multiplicities. The completeness was not calculated the right way. Furthemore I found 3 more validity errors, which totals 7."
A13.1,G,C1,50,25,0,33,8,23.2,2,3.13,13,25,"I agree with the Class, Attribute, Methods and Association percentages. I don‰Ûªt agree with the multiplicity percentage. I think that the Order to Room multiplicity should be false since there is no class called Room. I also think that the Client to ClientAddress multiplicity should be false since there is no class Called ClientAddress. Therefore, multiplicity percentage should be changed to 8% instead of 25%. The Completeness percentage should now also be changed to 23.2% instead of 26.6%. The subject also added 27 classes, attributes, methods and associations that should not be in the model. None of these validity errors are mentioned in the template that was filled in for the subject. Therefore, the ValidityErr column should be 27 instead of 0 and the Invalidity% should be 27/64 =42.1875."
A13.2,G,C1,100,57,100,100,41.6,79.72,3,4.69,32,23,Everything was OK; Only 1 correct mutliplicity was evaluated as inorrect. This has changed the percentage from 33.3% to 41.6%.
A13.3,G,C1,83,50,67,50,9,51.8,7,16.3,6,31,When calculating the completeness percentages and invalidity rate you considered the given elements to be correct. I recalculated the percentages and filled them in.
A2.1 ,G,C2,100,68,50,82,82,73,6,6.74,9,30,
A2.2 ,G,C2,63,45,31,47,57,48.6,0,0,6,25,
A2.3,G,C2,88,58,0,53,35,45,15,16.85,8,45,
